Name,Year,League_Name,Winner
Bundesliga 2021,2021,Bundesliga,Bayern Munich
Bundesliga 2022,2022,Bundesliga,Bayern Munich
Bundesliga 2023,2023,Bundesliga,Dortmund
Bundesliga 2024,2024,Bundesliga,Leverkusen
Bundesliga 2025,2025,Bundesliga,Bayern Munich
La Liga 2021,2021,La Liga,Ath Madrid
La Liga 2022,2022,La Liga,Real Madrid
La Liga 2023,2023,La Liga,Barcelona
La Liga 2024,2024,La Liga,Real Madrid
La Liga 2025,2025,La Liga,Barcelona
Ligue 1 2021,2021,Ligue 1,Paris SG
Ligue 1 2022,2022,Ligue 1,Paris SG
Ligue 1 2023,2023,Ligue 1,Paris SG
Ligue 1 2024,2024,Ligue 1,Paris SG
Ligue 1 2025,2025,Ligue 1,Paris SG
Premier League 2021,2021,Premier League,Man City
Premier League 2022,2022,Premier League,Man City
Premier League 2023,2023,Premier League,Man City
Premier League 2024,2024,Premier League,Man City
Premier League 2025,2025,Premier League,Liverpool
Serie A 2021,2021,Serie A,Inter
Serie A 2022,2022,Serie A,Milan
Serie A 2023,2023,Serie A,Napoli
Serie A 2024,2024,Serie A,Inter
Serie A 2025,2025,Serie A,Inter
