Manager_ID,Club_Name,Years
1,Man City,2016
2,Liverpool,2015
3,Arsenal,2019
4,Man United,2022
5,Chelsea,2021
6,Chelsea,2022
7,Chelsea,2023
8,Chelsea,2024
9,Tottenham,2021
10,Tottenham,2023
11,Aston Villa,2018
12,Aston Villa,2021
13,Aston Villa,2022
14,Man United,2019
15,Man United,2021
16,Liverpool,2024
17,Man United,2024
18,Real Madrid,2021
19,Barcelona,2021
20,Barcelona,2024
21,Ath Madrid,2011
22,Barcelona,2020
23,Barcelona,2020
24,Real Madrid,2019
25,Sociedad,2018
26,Bayern Munich,2021
27,Bayern Munich,2023
28,Bayern Munich,2024
29,Dortmund,2021
30,Dortmund,2022
31,Dortmund,2024
32,Leverkusen,2022
33,Bayern Munich,2020
34,Inter,2021
35,Milan,2019
36,Juventus,2019
37,Napoli,2021
38,Roma,2021
39,Inter,2019
40,Roma,2019
41,Paris SG,2021
42,Paris SG,2022
43,Paris SG,2023
44,Paris SG,2024
45,Lyon,2021
46,Marseille,2022
47,Marseille,2023
48,Marseille,2024
