Player_ID,Name,DOB,Salary,Goals,Club_Name
1,Eldin Jakupovic,1984-10-02,,0,Everton
2,James Milner,1986-01-04,,30,Brighton
3,Zlatan Ibrahimović,1981-10-03,,164,Milan
4,Hilton,1977-09-13,,9,Montpellier
5,Niklas Moisander,1985-09-29,,2,Werder Bremen
6,Gianluigi Buffon,1978-01-28,,0,Juventus
7,Nicolas Penneteau,1981-02-28,,0,Reims
8,Yohann Pelé,1982-11-04,,0,Marseille
9,Antonio Rosati,1983-06-26,,0,Fiorentina
10,Christian Fuchs,1986-04-07,,4,Leicester
11,Simone Farelli,1983-02-19,,0,Roma
12,Francesco Magnanelli,1984-11-12,,3,Sassuolo
13,Jonas Hofmann,1992-07-14,,55,Leverkusen
14,Joaquín,1981-07-21,,30,Betis
15,Alberto Cifuentes,1979-05-29,,0,Cadiz
16,Pepe Reina,1982-08-31,,0,Como
17,Oier Olazábal,1989-09-14,,0,Espanol
18,Rubén Martínez,1984-06-22,,0,Osasuna
19,Philipp Pentke,1985-05-01,,0,FC Koln
20,Cesc Fàbregas,1987-05-04,,37,Monaco
21,Wes Morgan,1984-01-21,,8,Leicester
22,Ramiro Funes Mori,1991-03-05,,6,Villarreal
23,Ludovic Butelle,1983-04-03,,0,Reims
24,Daley Blind,1990-03-09,,5,Girona
25,Goran Pandev,1983-07-27,,41,Genoa
26,Alessio Cragno,1994-06-28,,0,Sassuolo
27,Lee Grant,1983-01-27,,0,Man United
28,Phil Jagielka,1982-08-17,,10,Sheffield United
29,Ben Foster,1983-04-03,,0,Watford
30,Andy Lonergan,1983-10-19,,0,Everton
31,Ashley Young,1985-07-09,,16,Everton
32,Aaron Lennon,1987-04-16,,15,Burnley
33,Scott Carson,1985-09-03,,0,Man City
34,Raúl Albiol,1985-09-04,,8,
35,Phil Bardsley,1985-06-28,,3,Burnley
36,Santi Cazorla,1984-12-13,,40,
37,David Martin,1986-01-22,,0,West Ham
38,Dani Alves,1983-05-06,,7,Barcelona
39,Jesús Navas,1985-11-21,,7,Sevilla
40,Dante,1983-10-18,,11,Nice
41,Casemiro,1992-02-23,,37,Man United
42,Orestis Karnezis,1985-07-11,,0,Lille
43,Alex Cordaz,1983-01-01,,0,Inter
44,Claudio Terzi,1984-06-19,,2,Spezia
45,Kevin-Prince Boateng,1987-03-06,,30,Hertha
46,Manuel Neuer,1986-03-27,,0,Bayern Munich
47,Hugo Lloris,1986-12-26,,0,Tottenham
48,Álvaro Negredo,1985-08-20,,69,Cadiz
49,Hatem Ben Arfa,1987-03-07,,33,Lille
50,Jimmy Briand,1985-08-02,,57,
51,Karim Benzema,1987-12-19,,171,Real Madrid
52,Thomas Mangani,1987-04-29,,26,Ajaccio
53,Rémy Riou,1987-08-06,,0,
54,Gerard Piqué,1987-02-02,,22,Barcelona
55,Christian Gentner,1985-08-14,,24,Union Berlin
56,Michael Langer,1985-01-06,,0,Schalke 04
57,Oscar Wendt,1985-10-24,,16,M'gladbach
58,Willy Caballero,1981-09-28,,0,Southampton
59,Papu Gómez,1988-02-15,,67,Sevilla
60,Corentin Jean,1995-07-15,,12,Lens
61,Andrés Guardado,1986-09-28,,5,Betis
62,Christian Maggio,1982-02-11,,4,Benevento
63,Vedad Ibisevic,1984-08-06,,70,Schalke 04
64,Ron-Robert Zieler,1989-02-12,,0,FC Koln
65,Philipp Tschauner,1985-11-03,,0,RB Leipzig
66,Federico Peluso,1984-01-20,,6,Sassuolo
67,Gianluca Pegolo,1981-03-25,,0,Sassuolo
68,Valon Behrami,1985-04-19,,2,Genoa
69,Cristian Molinaro,1983-07-30,,3,Venezia
70,Franck Ribéry,1983-04-07,,48,Salernitana
71,Antonio Mirante,1983-07-08,,0,Milan
72,Federico Marchetti,1983-02-07,,0,Spezia
73,Fabio Quagliarella,1983-01-31,,117,Sampdoria
74,Daniel Congré,1985-04-05,,10,Montpellier
75,Benoît Costil,1987-07-03,,0,Salernitana
76,Steve Mandanda,1985-03-28,,0,Rennes
77,Jérémy Morel,1984-04-02,,3,Lorient
78,Romain Salin,1984-07-29,,0,Rennes
79,Rune Jarstein,1984-09-29,,0,Hertha
80,Pedro López,1983-11-01,,2,Huesca
81,Antonio Candreva,1987-02-28,,75,Salernitana
82,Sergio Ramos,1986-03-30,,51,Sevilla
83,Lukasz Piszczek,1985-06-03,,12,Dortmund
84,Miguel Ángel Moyá,1984-04-02,,0,Sociedad
85,Fernandinho,1985-05-04,,20,Man City
86,Sergio Agüero,1988-06-02,,161,Barcelona
87,Jérôme Boateng,1988-09-03,,5,Salernitana
88,Ragnar Klavan,1985-10-30,,5,Cagliari
89,Mathieu Debuchy,1985-07-28,,13,St Etienne
90,Sidnei,1989-08-23,,4,Betis
91,Kévin Gameiro,1987-05-09,,107,Strasbourg
92,Kiko Casilla,1986-10-02,,0,Getafe
93,Jean-Louis Leca,1985-09-21,,0,Lens
94,Iván Cuéllar,1984-05-27,,0,Mallorca
95,Gary Cahill,1985-12-19,,13,Crystal Palace
96,Daniele Padelli,1985-10-25,,0,Udinese
97,Luka Modrić,1985-09-09,,27,Milan
98,Samir Handanovic,1984-07-14,,0,Inter
99,Denis Petric,1988-05-24,,0,Lens
100,Edin Dzeko,1986-03-17,,141,Schalke 04
101,Gonzalo Castro,1987-06-11,,26,Bielefeld
102,Manolo Reina,1985-04-01,,0,Mallorca
103,Nino,1980-06-10,,3,
104,Giorgio Chiellini,1984-08-14,,9,Juventus
105,Sami Khedira,1987-04-04,,25,Hertha
106,Graziano Pellè,1985-07-15,,24,Parma
107,Daniel Ciofani,1985-07-31,,22,Cremonese
108,Lukasz Fabianski,1985-04-18,,0,West Ham
109,John Ruddy,1986-10-24,,0,Newcastle
110,Sven Bender,1989-04-27,,6,Leverkusen
111,Lars Bender,1989-04-27,,14,Leverkusen
112,Óscar Trejo,1988-04-26,,20,Vallecano
113,Sergio Romero,1987-02-22,,0,Venezia
114,Gabriel Paletta,1986-02-15,,4,Monza
115,Nick Proschwitz,1986-11-28,,0,Hoffenheim
116,Norman Theuerkauf,,,0,Heidenheim
117,Tobias Sippel,1988-03-22,,0,M'gladbach
118,Nicolas Feldhahn,1986-08-14,,0,Bayern Munich
119,Mark Noble,1987-05-08,,33,West Ham
120,Toni Kroos,1990-01-04,,27,Real Madrid
121,Armando Izzo,1992-03-02,,11,Monza
122,Ivan Rakitic,1988-03-10,,55,Sevilla
123,Antonio Barragán,1987-06-12,,1,
124,Patrick Herrmann,1991-02-12,,37,M'gladbach
125,Max Grün,1987-04-05,,0,M'gladbach
126,Danilo,1984-05-10,,11,Bologna
127,Tim Krul,1988-04-03,,0,Luton
128,Luca Cigarini,1986-06-20,,8,Crotone
129,Lorenzo De Silvestri,1988-05-23,,26,Bologna
130,Theo Walcott,1989-03-16,,54,Southampton
131,Alex Smithies,1990-03-05,,0,Leicester
132,Massimo Coda,1988-11-10,,6,Genoa
133,Vito Mannone,1988-03-02,,0,Lille
134,Asmir Begovic,1987-06-20,,1,Everton
135,Jessy Moulin,1986-01-13,,0,Troyes
136,Tom Heaton,1986-04-15,,0,Man United
