Player_ID,position
1,Goalkeeper
2,Midfield
2,Central Midfield
3,Attack
3,Centre-Forward
4,Defender
4,Centre-Back
5,Defender
5,Centre-Back
6,Goalkeeper
7,Goalkeeper
8,Goalkeeper
9,Goalkeeper
10,Defender
10,Left-Back
11,Goalkeeper
12,Midfield
12,Defensive Midfield
13,Midfield
13,Attacking Midfield
14,Attack
14,Right Winger
15,Goalkeeper
16,Goalkeeper
17,Goalkeeper
18,Goalkeeper
19,Goalkeeper
20,Midfield
20,Central Midfield
21,Defender
21,Centre-Back
22,Defender
22,Centre-Back
23,Goalkeeper
24,Defender
24,Centre-Back
25,Attack
25,Second Striker
26,Goalkeeper
27,Goalkeeper
28,Defender
28,Centre-Back
29,Goalkeeper
30,Goalkeeper
31,Defender
31,Right-Back
32,Attack
32,Right Winger
33,Goalkeeper
34,Defender
34,Centre-Back
35,Defender
35,Right-Back
36,Midfield
36,Central Midfield
37,Goalkeeper
38,Defender
38,Right-Back
39,Midfield
39,Right Midfield
40,Defender
40,Centre-Back
41,Midfield
41,Defensive Midfield
42,Goalkeeper
43,Goalkeeper
44,Defender
44,Centre-Back
45,Midfield
45,Attacking Midfield
46,Goalkeeper
47,Goalkeeper
48,Attack
48,Centre-Forward
49,Midfield
49,Attacking Midfield
50,Attack
50,Centre-Forward
51,Attack
51,Centre-Forward
52,Midfield
52,Central Midfield
53,Goalkeeper
54,Defender
54,Centre-Back
55,Midfield
55,Central Midfield
56,Goalkeeper
57,Defender
57,Left-Back
58,Goalkeeper
59,Attack
59,Left Winger
60,Attack
60,Centre-Forward
61,Midfield
61,Central Midfield
62,Defender
62,Right-Back
63,Attack
63,Centre-Forward
64,Goalkeeper
65,Goalkeeper
66,Defender
66,Left-Back
67,Goalkeeper
68,Midfield
68,Defensive Midfield
69,Defender
69,Left-Back
70,Attack
70,Left Winger
71,Goalkeeper
72,Goalkeeper
73,Attack
73,Centre-Forward
74,Defender
74,Centre-Back
75,Goalkeeper
76,Goalkeeper
77,Defender
