Game_ID,Club_Name
1,Bayern Munich
1,Schalke 04
2,Bielefeld
2,Ein Frankfurt
3,FC Koln
3,Hoffenheim
4,Freiburg
4,Stuttgart
5,Union Berlin
5,Augsburg
6,Hertha
6,Werder Bremen
7,Dortmund
7,M'gladbach
8,Mainz
8,RB Leipzig
9,Wolfsburg
9,Leverkusen
10,Ein Frankfurt
10,Hertha
11,Augsburg
11,Dortmund
12,FC Koln
12,Bielefeld
13,Leverkusen
13,RB Leipzig
14,Stuttgart
14,Mainz
15,Union Berlin
15,M'gladbach
16,Schalke 04
16,Werder Bremen
17,Bayern Munich
17,Hoffenheim
18,Freiburg
18,Wolfsburg
19,Mainz
19,Union Berlin
20,Dortmund
20,Freiburg
21,Hoffenheim
21,Ein Frankfurt
22,FC Koln
22,M'gladbach
23,Leverkusen
23,Stuttgart
24,Werder Bremen
24,Bielefeld
25,Schalke 04
25,RB Leipzig
26,Wolfsburg
26,Augsburg
27,Hertha
27,Bayern Munich
28,Augsburg
28,RB Leipzig
29,Werder Bremen
29,Freiburg
30,Hertha
30,Stuttgart
31,Dortmund
31,Hoffenheim
32,Mainz
32,Leverkusen
33,Bayern Munich
33,Bielefeld
34,M'gladbach
34,Wolfsburg
35,Ein Frankfurt
35,FC Koln
36,Schalke 04
36,Union Berlin
37,FC Koln
37,Stuttgart
38,Bayern Munich
38,Ein Frankfurt
39,Mainz
39,M'gladbach
40,Hertha
40,RB Leipzig
41,Freiburg
41,Union Berlin
42,Dortmund
42,Schalke 04
43,Bielefeld
43,Wolfsburg
44,Werder Bremen
44,Hoffenheim
45,Augsburg
45,Leverkusen
46,Schalke 04
46,Stuttgart
47,Mainz
47,Augsburg
48,Bielefeld
48,Dortmund
49,Werder Bremen
49,Ein Frankfurt
50,FC Koln
50,Bayern Munich
51,M'gladbach
51,RB Leipzig
52,Leverkusen
52,Freiburg
53,Hertha
53,Wolfsburg
54,Union Berlin
54,Hoffenheim
55,FC Koln
55,Werder Bremen
56,Augsburg
56,Hertha
57,Schalke 04
57,Mainz
58,RB Leipzig
58,Freiburg
59,Ein Frankfurt
59,Stuttgart
60,Union Berlin
60,Bielefeld
61,Bayern Munich
61,Dortmund
62,Wolfsburg
62,Hoffenheim
63,M'gladbach
63,Leverkusen
64,Bayern Munich
64,Werder Bremen
65,Bielefeld
65,Leverkusen
66,Hoffenheim
66,Stuttgart
67,Augsburg
67,M'gladbach
68,Wolfsburg
68,Schalke 04
69,RB Leipzig
69,Ein Frankfurt
70,Hertha
70,Dortmund
71,Mainz
71,Freiburg
72,FC Koln
72,Union Berlin
73,Werder Bremen
73,Wolfsburg
74,Augsburg
74,Freiburg
75,FC Koln
75,Dortmund
76,RB Leipzig
76,Bielefeld
77,Bayern Munich
77,Stuttgart
78,Union Berlin
78,Ein Frankfurt
79,Schalke 04
79,M'gladbach
80,Leverkusen
80,Hertha
81,Hoffenheim
81,Mainz
82,Hertha
82,Union Berlin
83,Bielefeld
83,Mainz
84,Dortmund
84,Ein Frankfurt
85,FC Koln
85,Wolfsburg
86,M'gladbach
86,Freiburg
87,RB Leipzig
87,Bayern Munich
88,Stuttgart
88,Werder Bremen
89,Leverkusen
89,Schalke 04
90,Hoffenheim
90,Augsburg
91,Wolfsburg
91,Ein Frankfurt
92,Stuttgart
92,Dortmund
93,Freiburg
93,Bielefeld
94,FC Koln
94,Mainz
95,M'gladbach
95,Hertha
96,Werder Bremen
96,RB Leipzig
97,Union Berlin
97,Bayern Munich
98,Schalke 04
98,Augsburg
99,Leverkusen
99,Hoffenheim
100,M'gladbach
100,Ein Frankfurt
101,Hertha
101,Mainz
102,Union Berlin
102,Stuttgart
103,Werder Bremen
103,Dortmund
104,Freiburg
104,Schalke 04
105,Bayern Munich
105,Wolfsburg
106,Augsburg
106,Bielefeld
107,FC Koln
107,Leverkusen
108,RB Leipzig
108,Hoffenheim
109,Dortmund
109,Union Berlin
110,Augsburg
110,Ein Frankfurt
111,Werder Bremen
111,Mainz
112,M'gladbach
112,Hoffenheim
113,FC Koln
113,RB Leipzig
114,Schalke 04
114,Bielefeld
115,Bayern Munich
115,Leverkusen
116,Freiburg
116,Hertha
117,Stuttgart
117,Wolfsburg
118,Bielefeld
118,M'gladbach
119,Ein Frankfurt
119,Leverkusen
120,Augsburg
120,FC Koln
121,Hoffenheim
121,Freiburg
122,Union Berlin
122,Werder Bremen
123,Hertha
123,Schalke 04
124,RB Leipzig
124,Stuttgart
125,Dortmund
125,Wolfsburg
126,Mainz
126,Bayern Munich
127,M'gladbach
127,Bayern Munich
128,FC Koln
128,Freiburg
129,Leverkusen
129,Werder Bremen
130,Ein Frankfurt
130,Mainz
131,Schalke 04
131,Hoffenheim
132,Wolfsburg
132,Union Berlin
133,RB Leipzig
133,Dortmund
134,Stuttgart
134,Augsburg
135,Bielefeld
135,Hertha
136,Leverkusen
136,Union Berlin
137,Dortmund
137,Mainz
138,Hertha
138,FC Koln
139,Hoffenheim
139,Bielefeld
140,Augsburg
140,Werder Bremen
141,Wolfsburg
141,RB Leipzig
142,M'gladbach
142,Stuttgart
143,Bayern Munich
143,Freiburg
144,Schalke 04
144,Ein Frankfurt
145,M'gladbach
145,Werder Bremen
146,Hoffenheim
146,Hertha
147,Leverkusen
147,Dortmund
148,Wolfsburg
148,Mainz
149,Schalke 04
149,FC Koln
150,Bayern Munich
150,Augsburg
151,Stuttgart
151,Bielefeld
152,Freiburg
152,Ein Frankfurt
153,Union Berlin
153,RB Leipzig
